"unigram","frequency"
"effect",57
"fish",57
"gym",57
"hopefully",57
"images",57
"investment",57
"l",57
"nfl",57
"noted",57
"population",57
"schedule",57
"sea",57
"soul",57
"steps",57
"suggested",57
"target",57
"ticket",57
"towards",57
"asking",56
"attacks",56
"attorney",56
"beef",56
"brain",56
"bread",56
"broke",56
"charged",56
"farm",56
"heading",56
"medium",56
"mexico",56
"notice",56
"opportunities",56
"papers",56
"plays",56
"pulled",56
"santa",56
"specific",56
"theater",56
"1st",55
"actual",55
"advantage",55
"allowing",55
"authority",55
"balance",55
"bear",55
"bottle",55
"bringing",55
"digital",55
"gun",55
"inc",55
"joy",55
"jury",55
"lately",55
"likes",55
"mass",55
"meaning",55
"network",55
"notes",55
"otherwise",55
"path",55
"republicans",55
"scored",55
"speech",55
"standard",55
"tiny",55
"unit",55
"violence",55
"wind",55
"agent",54
"avenue",54
"awards",54
"aware",54
"begins",54
"cant",54
"claims",54
"closing",54
"comfortable",54
"coverage",54
"drama",54
"ending",54
"foundation",54
"fruit",54
"fucking",54
"governor",54
"host",54
"jr",54
"laws",54
"noticed",54
"patient",54
"produce",54
"rare",54
"required",54
"resources",54
"score",54
"screen",54
"sending",54
"tony",54
"treatment",54
"worried",54
"younger",54
"bright",53
"brothers",53
"chose",53
"commissioner",53
"complex",53
"damage",53
"drugs",53
"extremely",53
"filling",53
"fix",53
"helping",53
"honest",53
"indeed",53
"iphone",53
"mile",53
"milk",53
"ms",53
"parking",53
"proposal",53
"purpose",53
"require",53
"shoot",53
"silver",53
"taxes",53
"till",53
"turning",53
"unemployment",53
"writer",53
"african",52
"allows",52
"anybody",52
"baltimore",52
"beauty",52
"butter",52
"century",52
"closer",52
"coaches",52
"committed",52
"cooking",52
"covers",52
"emergency",52
"greatest",52
"here's",52
"inspiration",52
"knowing",52
"moments",52
"ocean",52
"pace",52
"station",52
"stretch",52
"vice",52
"visited",52
"zone",52
"actions",51
"agree",51
"arms",51
"civil",51
"concert",51
"couldn’t",51
"determined",51
"egg",51
"enter",51
"gop",51
"guitar",51
"holding",51
"income",51
"influence",51
"journey",51
"largely",51
"levels",51
"lower",51
"male",51
"necessary",51
"october",51
"pan",51
"politics",51
"posts",51
"repeat",51
"seek",51
"singing",51
"stars",51
"suddenly",51
"teach",51
"visiting",51
"web",51
"you'd",51
"aid",50
"analysts",50
"basic",50
"cell",50
"chapter",50
"christ",50
"christie",50
"discussion",50
"draw",50
"environmental",50
"experiences",50
"fabulous",50
"filed",50
"guide",50
"honestly",50
"hop",50
"ingredients",50
"issued",50
"lucky",50
"memory",50
"murder",50
"placed",50
"scale",50
"scared",50
"significant",50
"stone",50
"variety",50
"wake",50
"william",50
"12th",49
"ad",49
"advice",49
"alive",49
"banks",49
"bus",49
"claim",49
"colorado",49
"connected",49
"copy",49
"develop",49
"direction",49
"everywhere",49
"file",49
"films",49
"generation",49
"golden",49
"harris",49
"hello",49
"increased",49
"lay",49
"leadership",49
"located",49
"measure",49
"mid",49
"nobody",49
"obvious",49
"ordered",49
"partner",49
"pressure",49
"rates",49
"sauce",49
"storm",49
"train",49
"apartment",48
"apply",48
"august",48
"basically",48
"carolina",48
"choices",48
"chosen",48
"comedy",48
"concerns",48
"congress",48
"dangerous",48
"desire",48
"drivers",48
"easter",48
"juice",48
"managed",48
"millions",48
"ourselves",48
"owned",48
"personality",48
"pm",48
"recommend",48
"religious",48
"rule",48
"scott",48
"shown",48
"smaller",48
"stands",48
"streets",48
"survey",48
"thinks",48
"thus",48
"tim",48
"unique",48
"weren't",48
"angry",47
"athletes",47
"baking",47
"barely",47
"blues",47
"buildings",47
"celebrate",47
"clothes",47
"cookies",47
"crew",47
